title,authors,journal,DOI,abstract,year,volume,issue,pages
Contrasting strategies of osmotic and ionic regulation in freshwater crabs and shrimps: gene expression of gill ion transporters,"Mantovani, Milene and McNamara, John Campbell",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.233890,"Owing to their extraordinary niche diversity, the Crustacea are ideal for comprehending the evolution of osmoregulation. The processes that effect systemic hydro-electrolytic homeostasis maintain hemolymph ionic composition via membrane transporters located in highly specialized gill ionocytes. We evaluated physiological and molecular hyper- and hypo-osmoregulatory mechanisms in two phylogenetically distant, freshwater crustaceans, the crab Dilocarcinus pagei and the shrimp Macrobrachium jelskii, when osmotically challenged for up to 10 days. When in distilled water, D. pagei survived without mortality, hemolymph osmolality and {[}Cl-] increased briefly, stabilizing at initial values, while {[}Na+] decreased continually. Expression of gill V-type H+-ATPase (V-ATPase), Na+/K+-ATPase and Na+/K+/2Cl(-) symporter genes was unchanged. In M. jelskii, hemolymph osmolality, {[}Cl-] and {[}Na+] decreased continually for 12 h, the shrimps surviving only around 15-24 h exposure. Gill transporter gene expression increased 2- to 5-fold. After 10 days exposure to brackish water (25 parts per thousand S), D. pagei was isosmotic, iso-chloremic and iso-natriuremic. Gill V-ATPase expression decreased while Na+/K+-ATPase and Na+/K+/2Cl(-) symporter expression was unchanged. In M. jelskii (20 parts per thousand S), hemolymph was hypo-regulated, particularly {[}Cl-]. Transporter expression initially increased 3- to 12-fold, declining to control values. Gil V-ATPase expression underlies the ability of D. pagei to survive in fresh water while V-ATPase, Na+/K+-ATPase and Na+/K+/2Cl(-) symporter expression enables M. jelskii to confront hyper/ hypo-osmotic challenges. These findings reveal divergent responses in two unrelated crustaceans inhabiting a similar osmotic niche. While D. pagei does not secrete salt, tolerating elevated cellular isosmoticity, M. jelskii exhibits clear hypo-osmoregulatory ability. Each species has evolved distinct strategies at the transcriptional and systemic levels during its adaptation to fresh water.",2021,224,3,NA
"Oxidative ecology of paternal care in wild smallmouth bass, <i>Micropterus dolomieu</i>","Elmer, Laura K. and O'Connor, Constance M. and Philipp, David P. and Van der Kraak, Glen and Gilmour, Kathleen M. and Willmore, William G. and Barthel, Brandon L. and Cooke, Steven J.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.153775,"Physiologically, oxidative stress is considered a homeostatic imbalance between reactive oxygen species production and absorption. From an ecological perspective, oxidative stress may serve as an important constraint to life-history traits, such as lifespan, reproduction and the immune system, and is gaining interest as a potential mechanism underlying life-history trade-offs. Of late, there has been much interest in understanding the role of oxidative stress in the ecology of wild animals, particularly during challenging periods such as reproduction. Here, we used a long-term study population of a fish with sole-male parental care, the smallmouth bass, Micropterus dolomieu, to examine the associations among oxidative stress indicators and life-history variables in nest-guarding males. In addition, we investigated the potential role of oxidative stress as a physiological mediator of the life-history trade-off decision of paternal smallmouth bass to stay with or abandon their brood. We found that oxidative stress was significantly related to the life history of paternal smallmouth bass, such that older, larger fish with greater reproductive experience and larger broods nesting in cooler water temperatures had lower levels of oxidative stress. However, we found no significant correlation between oxidative stress and nesting success, suggesting that oxidative stress may not be involved in the decision of male smallmouth bass to abandon their brood. Wild fish have been relatively understudied in the emerging field of oxidative ecology, and this study makes noteworthy contributions by revealing interesting connections between the life histories of paternal smallmouth bass and their oxidative status.",2017,220,10,1905-1914
Fatty acid oxidation: a neglected factor in understanding the adjustment of mitochondrial function to cold temperatures,"Mast, Heather and Holody, Claudia D. and Lemieux, Helene",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.244934,"For ectothermic species, adaptation to thermal changes is of critical importance. Mitochondrial oxidative phosphorylation (OXPHOS), which leverages multiple electron pathways to produce energy needed for survival, is among the crucial metabolic processes impacted by temperature. Our aim in this study was to identify how changes in temperature affect the less-studied electron transferring flavoprotein pathway, fed by fatty acid substrates. We used the planarian Dugesia tignna, acclimated for 4 weeks at 10 degrees C (cold acclimated) or 20 degrees C (normothermic). Respirometry experiments were conducted at an assay temperature of either 10 or 20 degrees C to study specific states of the OXPHOS process using the fatty acid substrates palmitoylcarnitine (long chain), octanoylcarnitine (medium chain) or acetylcarnitine (short chain). Following cold acclimation, octanoylcarnitine exhibited increases in both the OXPHOS and electron transfer (ET, non-coupled) states, indicating that the pathway involved in medium-chain length fatty acids adjusts to cold temperatures. Acetylcarnitine only showed an increase in the OXPHOS state as a result of cold acclimation, but not in the ET state, indicative of a change in phosphorylation system capacity rather than fatty acid beta-oxidation. Palmitoylcarnitine oxidation was unaffected. Our results show that cold acclimation in D. tignna caused a specific adjustment in the capacity to metabolize medium-chain fatty acids rather than an adjustment in the activity of the enzymes carnitine-acylcarnitine translocase, carnitine acyltransferase and carnitine palmitoyltransferase-2. Here, we provide novel evidence of the alterations in fatty acid beta-oxidation during cold acclimation in D. tignna.",2022,225,21,NA
Diet mediates thermal performance traits: implications for marine ectotherms,"Hardison, Emily A. and Kraskura, Krista and Van Wert, Jacey and Nguyen, Tina and Eliason, Erika J.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.242846,"Thermal acclimation is a key process enabling ectotherms to cope with temperature change. To undergo a successful acclimation response, ectotherms require energy and nutritional building blocks obtained from their diet. However, diet is often overlooked as a factor that can alter acclimation responses. Using a temperate omnivorous fish, opaleye (Gireila nigricans), as a model system, we tested the hypotheses that (1) diet can impact the magnitude of thermal acclimation responses and (2) traits vary in their sensitivity to both temperature acclimation and diet. We fed opaleye a simple omnivorous diet (ad libitum Aftemia sp. and Ulva sp.) or a carnivorous diet (ad libitum Artemia sp.) at two ecologically relevant temperatures (12 and 20 degrees C) and measured a suite of whole-animal (growth, sprint speed, metabolism), organ (cardiac thermal tolerance) and cellular-level traits (oxidative stress, glycolytic capacity). When opaleye were offered two diet options compared with one, they had reduced cardiovascular thermal performance and higher standard metabolic rate under conditions representative of the maximal seasonal temperature the population experiences (20 degrees C). Further, sprint speed and absolute aerobic scope were insensitive to diet and temperature, while growth was highly sensitive to temperature but not diet, and standard metabolic rate and maximum heart rate were sensitive to both diet and temperature. Our results reveal that diet influences thermal performance in trait-specific ways, which could create diet trade-offs for generalist ectotherms living in thermally variable environments. Ectotherms that alter their diet may be able to regulate their performance at different environmental temperatures.",2021,224,21,NA
Distinct physiological strategies are used to cope with constant hypoxia and intermittent hypoxia in killifish (<i>Fundulus heteroclitus</i>),"Borowiec, Brittney G. and Darcy, Kimberly L. and Gillette, Danielle M. and Scott, Graham R.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.114579,"Many fish encounter hypoxia on a daily cycle, but the physiological effects of intermittent hypoxia are poorly understood. We investigated whether acclimation to constant (sustained) hypoxia or to intermittent diel cycles of nocturnal hypoxia (12 h normoxia: 12 h hypoxia) had distinct effects on hypoxia tolerance or on several determinants of O-2 transport and O-2 utilization in estuarine killifish. Adult killifish were acclimated to normoxia, constant hypoxia, or intermittent hypoxia for 7 or 28 days in brackish water (4 ppt). Acclimation to both hypoxia patterns led to comparable reductions in critical O-2 tension and resting O-2 consumption rate, but only constant hypoxia reduced the O-2 tension at loss of equilibrium. Constant (but not intermittent) hypoxia decreased filament length and the proportion of seawater-type mitochondrion-rich cells in the gills (which may reduce ion loss and the associated costs of active ion uptake), increased blood haemoglobin content, and reduced the abundance of oxidative fibres in the swimming muscle. In contrast, only intermittent hypoxia augmented the oxidative and gluconeogenic enzyme activities in the liver and increased the capillarity of glycolytic muscle, each of which should facilitate recovery between hypoxia bouts. Neither exposure pattern affected muscle myoglobin content or the activities of metabolic enzymes in the brain or heart, but intermittent hypoxia increased brain mass. We conclude that the pattern of hypoxia exposure has an important influence on the mechanisms of acclimation, and that the optimal strategies used to cope with intermittent hypoxia may be distinct from those for coping with constant hypoxia.",2015,218,8,1198-1211
"The importance of thermal history: costs and benefits of heat exposure in a tropical, rocky shore oyster","Giomi, Folco and Mandaglio, Concetta and Ganmanee, Monthon and Han, Guo-Dong and Dong, Yun-Wei and Williams, Gray A. and Sara, Gianluca",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.128892,"Although thermal performance is widely recognised to be pivotal in determining species' distributions, assessment of this performance is often based on laboratory-acclimated individuals, neglecting their proximate thermal history. The thermal history of a species sums the evolutionary history and, importantly, the thermal events recently experienced by individuals, including short-term acclimation to environmental variations. Thermal history is perhaps of greatest importance for species inhabiting thermally challenging environments and therefore assumed to be living close to their thermal limits, such as in the tropics. To test the importance of thermal history, the responses of the tropical oyster Isognomon nucleus to short-term differences in thermal environments were investigated. Critical and lethal temperatures and oxygen consumption were improved in oysters that previously experienced elevated air temperatures, and were associated with an enhanced heat shock response, indicating that recent thermal history affects physiological performance as well as inducing short-term acclimation to acute conditions. These responses were, however, associated with trade-offs in feeding activity, with oysters that experienced elevated temperatures showing reduced energy gain. Recent thermal history, therefore, seems to rapidly invoke physiological mechanisms that enhance survival of short-term thermal challenge but also longer term climatic changes and consequently needs to be incorporated into assessments of species' thermal performances.",2016,219,5,686-694
Phenotypic flexibility in metabolic adjustments and digestive function in white-shouldered starlings: responses to short-term temperature acclimation,"Li, Ming and Xu, Mingru and Wang, Jing and Yao, Yaqi and Zhang, Xinhao and Liu, Jinsong",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.246214,"Changing the intrinsic rate of metabolic heat production is the main adaptive strategy for small birds to cope with different ambient temperatures. In this study, we tested the hypothesis that the small passerine the white-shouldered starling (Sturnus sinensis) can modulate basal metabolism under temperature acclimation by changing the morphological, physiological and biochemical state of its tissues and organs. We measured the effects of temperature on body mass, basal metabolic rate (BMR), wet mass of various internal organs, state 4 respiration (S4R) and cytochrome c oxidase (CCO) activity in the pectoral muscle and organs, metabolites in the pectoral muscle, energy intake, histological dynamics and the activity of duodenal digestive enzymes. Warm acclimation decreased BMR to a greater extent than cold acclimation. At the organ level, birds in the cold-acclimated group had significantly heavier intestines but significantly lighter pectoral muscles. At the cellular level, birds in the cold-acclimated group showed significantly higher S4R in the liver and heart and CCO activity in the liver and kidney at both the mass -specific and whole-organ levels. A metabolomic analysis of the pectoral tissue revealed significantly higher lipid decomposition, amino acid degradation, ATP hydrolysis, and GTP and biotin synthesis in cold-acclimated birds. Acclimation to cold significantly increased the gross energy intake (GEI), feces energy (FE) and digestive energy intake (DEI) but significantly decreased the digestive efficiency of these birds. Furthermore, cold-acclimated birds had a higher maltase activity and longer villi in the duodenum. Taken together, these data show that white-shouldered starlings exhibit high phenotypic flexibility in metabolic adjustments and digestive function under temperature acclimation, consistent with the notion that small birds cope with the energy challenges presented by a cold environment by modulating tissue function in a way that would affect BMR.",2024,227,1,NA
Tissue-dependent variation of hydrogen sulfide homeostasis in anoxic freshwater turtles,"Jensen, Birgitte and Pardue, Sibile and Kevil, Christopher G. and Fago, Angela",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.203976,"Hydrogen sulfide (H2S) controls numerous physiological responses. To understand its proposed role in metabolic suppression, we measured free H2S and bound sulfane sulfur (BSS) in tissues of the freshwater turtle Trachemys scripta elegans, a species undergoing strong metabolic suppression when cold and anoxic. In warm normoxic turtles, free H2S was higher in red blood cells (RBCs) and kidney (similar to 9-10 mu mol l(-1)) than in brain, liver and lung (similar to 1-2 mu mol l(-1)). These values overall aligned with the tissue H2S-generating enzymatic activity. BSS levels were similar in all tissues (similar to 0.5 mu mol l(-1)) but similar to 100-fold higher in RBCs, which have a high thiol content, suggesting that RBCs function as a circulating H2S reservoir. Cold acclimation caused significant changes in free and bound H2S in liver, brain and RBCs, but anoxia had no further effect, except in the brain. These results show tissue-dependent sulfide signaling with a potential role in brain metabolic suppression during anoxia in turtles.",2019,222,12,NA
Chronic warm exposure impairs growth performance and reduces thermal safety margins in the common triplefin fish (<i>Forsterygion lapillum</i>),"McArley, Tristan J. and Hickey, Anthony J. R. and Herbert, Neill A.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.162099,"Intertidal fish species face gradual chronic changes in temperature and greater extremes of acute thermal exposure through climate-induced warming. As sea temperatures rise, it has been proposed that whole-animal performance will be impaired through oxygen and capacity limited thermal tolerance {[}OCLTT; reduced aerobic metabolic scope (MS)] and, on acute exposure to high temperatures, thermal safety margins may be reduced because of constrained acclimation capacity of upper thermal limits. Using the New Zealand triplefin fish (Forsterygion lapillum), this study addressed how performance in terms of growth and metabolism (MS) and upper thermal tolerance limits would be affected by chronic exposure to elevated temperature. Growth was measured in fish acclimated (12 weeks) to present and predicted future temperatures and metabolic rates were then determined in fish at acclimation temperatures and with acute thermal ramping. In agreement with the OCLTT hypothesis, chronic exposure to elevated temperature significantly reduced growth performance and MS. However, despite the prospect of impaired growth performance under warmer future summertime conditions, an annual growth model revealed that elevated temperatures may only shift the timing of high growth potential and not the overall annual growth rate. While the upper thermal tolerance (i.e. critical thermal maxima) increased with exposure to warmer temperatures and was associated with depressed metabolic rates during acute thermal ramping, upper thermal tolerance did not differ between present and predicted future summertime temperatures. This suggests that warming may progressively decrease thermal safety margins for hardy generalist species and could limit the available habitat range of intertidal populations.",2017,220,19,3527-3535
Tropical flatback turtle (<i>Natator depressus</i>) embryos are resilient to the heat of climate change,"Howard, Robert and Bell, Ian and Pike, David A.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.118778,"Climate change is threatening reproduction of many ectotherms by increasing nest temperatures, potentially making it more difficult for females to locate nest sites that provide suitable incubation regimes during embryonic development. Elevated nest temperatures could increase the incidence of embryonic mortality and/or maladaptive phenotypes. We investigated whether elevated nest temperatures reduce hatching success in tropical flatback turtles (Natator depressus) nesting in the Gulf of Carpentaria, Australia. Egg incubation treatments began at 29.5 degrees C and progressively increased in temperature throughout incubation, up to maxima of 31, 32, 33, 34 and 35 degrees C. Elevated nest temperatures did not reduce hatching success or hatchling body size relative to control temperatures (29.5 degrees C), but did speed up embryonic development. A combination of sudden exposure to high temperatures during the first 2 weeks of incubation (>36 degrees C for 48 h) and prolonged warming throughout incubation (from 29.5-35 degrees C) did not reduce hatching success. We also recorded an unusually high pivotal sex-determining temperature in this flatback turtle population relative to other sea turtle populations: an equal ratio of male and female hatchlings is produced at similar to 30.4 degrees C. This adaptation may allow some flatback turtle populations to continue producing large numbers of hatchlings of both sexes under the most extreme climate change scenarios. Some tropical populations of nesting flatbacks may possess important adaptations to high-temperature incubation environments, which are not found in more southerly temperate populations.",2015,218,20,3330-3335
