Timestamp,Your initials,Short reference,Title,DOI,Journal,Taxonomic group,Climate change stressor,Life stage exposed to the stressor,Life stage of the animals when traits were measured,Trait category,Trait details,Additional comments
45637.17665,AC,Zuluaga_and_ Danner_2023,Acute stress and restricted diet reduce bill-mediated heat dissipation in the song sparrow (Melospiza melodia): implications for optimal thermoregulation,10.1242/jeb.245316,Journal of Experimental Biology,Bird,diet,Adults,Adults,"Environmental tolerance and preference, Development",bill size; thermoregulation,
45637.18316,AC,Mantovani_and_McNamara_2021,Contrasting strategies of osmotic and ionic regulation in freshwater crabs and shrimps: gene expression of gill ion transporters,10.1242/jeb.233890,Journal of Experimental Biology,Other invertebrate,osmolality,Adults,Adults,Osmoregulation,Time course of changes in osmoregulatory parameter;hemolymph osmolality; time course of changes in ion transporter gene expression,
45637.18506,AC,Elmer_et_al_2017,"Oxidative ecology of paternal care in wild smallmouth bass, Micropterus dolomieu",10.1242/jeb.153775,Journal of Experimental Biology,Fish,Oxygen,Adults,"Larvae or juveniles, Adults","Energetics and metabolism, Reproduction, Development",oxidative stress;nesting success; life-history traits,
45637.18852,AC,Mat_et_al_2022,Fatty acid oxidation: a neglected factor in understanding the adjustment of mitochondrial function to cold temperatures,10.1242/jeb.244934,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",Mitochondrial oxidative phosphorylation;fatty acid; survival;cold acclimation ,
45638.02936,AC,Hardison_et_al_2021,Diet mediates thermal performance traits: implications for marine ectotherms,10.1242/jeb.242846,Journal of Experimental Biology,Fish,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Cardiovascular physiology",Intermittent flow respirometry;sprint speed; thermal limits; growth;tissue assays;Thermal limits: Arrhenius breakpoint temperature test;ECG analyses,
45638.03466,AC,Borowiec_et_al_2015,Distinct physiological strategies are used to cope with constant hypoxia and intermittent hypoxia in killifish (Fundulus heteroclitus),10.1242/jeb.114579,Journal of Experimental Biology,Fish,Oxygen,Adults,Adults,"Energetics and metabolism, Development",Respirometry experiments;Gill morphometrics;Muscle histology; enzyme assays;,
45638.04156,AC,Morris_et_al_2015,Characterising multi-level effects of acute pressure exposure on a shallow-water invertebrate: insights into the kinetics and hierarchy of the stress response,10.1242/jeb.125914,Journal of Experimental Biology,Other invertebrate,pressure exposure,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",genes; respiratory rate;metabolism,
45643.23626,AC,Giomi_et_al_2016,"The importance of thermal history: costs and benefits of heat exposure in a tropical, rocky shore oyster",10.1242/jeb.128892,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Energetics and metabolism, Development",hsp70 mRNA expression;Feeding and assimilation responses;mortality;Respirometric measurements,
45643.24429,AC,Li_et_al_2024,Phenotypic flexibility in metabolic adjustments and digestive function in white-shouldered starlings: responses to short-term temperature acclimation,10.1242/jeb.246214,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development","basal metabolism;morphological, physiological and biochemical state of its tissues and organs;cytochrome c oxidase; basal metabolic rate;gross energy intake (GEI), feces energy (FE) and digestive energy intake (DEI)",
45643.24581,AC,Jensen_et_al_2019,Tissue-dependent variation of hydrogen sulfide homeostasis in anoxic freshwater turtles,10.1242/jeb.203976,Journal of Experimental Biology,Reptile,"Temperature, Oxygen",Adults,Adults,Energetics and metabolism,hydrogen sulfide homeostasis ,
45643.24915,AC,McArley_et_al_2017,Chronic warm exposure impairs growth performance and reduces thermal safety margins in the common triplefin fish (Forsterygion lapillum),10.1242/jeb.162099,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",growth;metabolism; upper thermal tolerance;metabolic rate,
45643.25147,AC,Howard_et_al_2015,Tropical flatback turtle (Natator depressus) embryos are resilient to the heat of climate change,10.1242/jeb.118778,Journal of Experimental Biology,Reptile,Temperature,Embryos,Larvae or juveniles,"Reproduction, Development",hatching success; body size;embryonic development;sex ratio,
45643.2532,AC,Hraoui_et_al_2021,"Mitochondrial responses towards intermittent heat shocks in the eastern oyster, Crassostrea virginica",10.1242/jeb.242745,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Energetics and metabolism,mitochondrial oxygen consumption ,
45643.25465,AC,Rivera_et_al_2021,Plasticity in parental effects confers rapid larval thermal tolerance in the estuarine anemone Nematostella vectensis,10.1242/jeb.236745,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Larvae or juveniles,Environmental tolerance and preference,larval thermal tolerance,
45643.25725,AC,McCoy_et_al_2020,Both maternal and embryonic exposure to mild hypoxia influence embryonic development of the intertidal gastropod Littorina littorea,10.1242/jeb.221895,Journal of Experimental Biology,Other invertebrate,Oxygen,"Embryos, Adults","Embryos, Larvae or juveniles",Development,growth and development of embryos; hatchling size and success; survival;development;,
45643.2899,AC,Steel_et_al_2019,"An appetite for invasion: digestive physiology, thermal performance and food intake in lionfish (Pterois spp.)",10.1242/jeb.209437,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,Specific dynamic action;feeding frequency; standard metabolic rate;,
45643.29679,AC,Ojaghi_and_ Pamenter_2024,Hypoxia impairs blood glucose homeostasis in naked mole-rat adult subordinates but not queens,10.1242/jeb.247537,Journal of Experimental Biology,Mammal,Oxygen,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Energetics and metabolism, Development",metabolic rate; body temperature; blood glucose,
45643.29932,AC,Liu_et_al_2018,Effects of both cold and heat stress on the liver of the giant spiny frog (Quasipaa spinosa): stress response and histological changes,10.1242/jeb.186379,Journal of Experimental Biology,Amphibian,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",mitochondrial ROS;stress-response gene expression,
45643.30477,AC,Nord_and_Folkow_2018,Seasonal variation in the thermal responses to changing environmental temperature in the world's northernmost land bird,10.1242/jeb.171124,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,esting metabolic rate (RMR); core temperature; several cutaneous temperatures,
45643.30899,AC,Raby_et_al_2016,Aerobic scope increases throughout an ecologically relevant temperature range in coho salmon,10.1242/jeb.137166,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,aerobic scope,
45643.3113,AC,Franklin_et_al_2013,Thermal dependence of cardiac function in arctic fish: implications of a warming world,10.1242/jeb.087130,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,cardiorespiratory scope,
45643.31456,AC,Mignucci_et_al_2021,"Cardiac and behavioural responses to hypoxia and warming in free-swimming gilthead seabream, Sparus aurata",10.1242/jeb.242397,Journal of Experimental Biology,Fish,"Temperature, Oxygen",Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",heart rate;oxygen saturation levels;bradycardia,
45643.31682,AC,Shirkey_and_Hammond_2014,The relationship between cardiopulmonary size and aerobic performance in adult deer mice at high altitude,10.1242/jeb.103713,Journal of Experimental Biology,Mammal,"Oxygen, altitude",Adults,Adults,Energetics and metabolism,aerobic performance,
45643.3194,AC,Badr_et_al_2016,"Effects of seasonal acclimatization on temperature dependence of cardiac excitability in the roach, Rutilus rutilus",10.1242/jeb.138347,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Cardiovascular physiology,heart rate;tachycardia;bradycardia;electrocardiograms;action potentials recordings,
45643.32112,AC,Norin_et_al_2014,Aerobic scope does not predict the performance of a tropical eurythermal fish at elevated temperatures,10.1242/jeb.089755,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",aerobic scope;thermal preference and tolerance;SMR;MMR,
45643.32535,AC,Lombardi_et_al_2020,"The effect of ambient oxygen on the thermal performance of a cockroach, Nauphoeta cinerea",10.1242/jeb.208306,Journal of Experimental Biology,Insect,Oxygen,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Development",thermal performance curve;ROUTINE METABOLIC RATE;growth rate,
45643.32976,AC,Kouyoumdjian_et_al_2019,"Transplanting gravid lizards to high elevation alters maternal and embryonic oxygen physiology, but not reproductive success or hatchling phenotype",10.1242/jeb.206839,Journal of Experimental Biology,Reptile,Oxygen,"Embryos, Adults","Embryos, Adults","Energetics and metabolism, Reproduction",oxygen physiology;reproductive output;metabolic rate,
45643.33243,AC,Terrell_et_al_2013,Cryptic impacts of temperature variability on amphibian immune function,10.1242/jeb.089896,Journal of Experimental Biology,Amphibian,Temperature,Adults,Adults,Immune function and stress physiology,immune response,
45643.33446,AC,Spence_ET_AL_2022,Anna's hummingbird (Calypte anna) physiological response to novel thermal and hypoxic conditions at high elevations,10.1242/jeb.243294,Journal of Experimental Biology,Bird,"Temperature, Oxygen",Adults,Adults,Energetics and metabolism,metabolic rates;,
45643.8866,AC,Ivy_and_Scott_2021,Life-long exposure to hypoxia affects metabolism and respiratory physiology across life stages in high-altitude deer mice (<i>Peromyscus maniculatus</i>),10.1242/jeb.237024,Journal of Experimental Biology,Mammal,Oxygen,Mix (before and after hatching),"Larvae or juveniles, Adults",Energetics and metabolism,oxygen consumption; breathing,
45643.88866,AC,Lefevre_ET_AL_2014,"Air breathing in the Arctic: influence of temperature, hypoxia, activity and restricted air access on respiratory physiology of the Alaska blackfish Dallia pectoralis",10.1242/jeb.105023,Journal of Experimental Biology,Fish,"Temperature, Oxygen",Adults,Adults,"Energetics and metabolism, Development","gill morpjhology;respirometry, metabolic rate",
45643.89199,AC,Seebacher_et_al_2014,The cost of muscle power production: muscle oxygen consumption per unit work increases at low temperatures in Xenopus laevis,10.1242/jeb.101147,Journal of Experimental Biology,Amphibian,Temperature,Adults,Adults,Energetics and metabolism,oxygen consumption;muscle performance ,
45643.89347,AC,EggintoN_et_al_2013,s cold acclimation of benefit to hibernating rodents?,10.1242/jeb.079160,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; cardiovascular performance; cardiac output,
45643.89515,AC,Bugg_et_al_2023,Elevated temperatures dampen the innate immune capacity of developing lake sturgeon (Acipenser fulvescens),10.1242/jeb.245335,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Immune function and stress physiology",innate immune responses; fatty acid responses; metabolic rate; stress; cortisol concentration ,
45643.89789,AC,Lim_et_al_2023,Intergenerational plasticity to cycling high temperature and hypoxia affects offspring stress responsiveness and tolerance in zebrafish,10.1242/jeb.245583,Journal of Experimental Biology,Fish,"Temperature, Oxygen",Adults,"Larvae or juveniles, Adults","Environmental tolerance and preference, Energetics and metabolism, Reproduction, Development",early survival and development; cortisol and heat shock proteins (HSPs);heat and hypoxia tolerance; fecundity,
45643.89928,AC,Jass_et_al_2019,An impressive capacity for cold tolerance plasticity protects against ionoregulatory collapse in the disease vector Aedes aegypti,10.1242/jeb.214056,Journal of Experimental Biology,Insect,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults",Environmental tolerance and preference,chill coma onset (CCO) and recovery time (CCRT),
45643.90047,AC,Ekstrom_ET_AL_2017,"Thermal sensitivity and phenotypic plasticity of cardiac mitochondrial metabolism in European perch, Perca fluviatilis",10.1242/jeb.150698,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,mitochondrial metabolic capacity,
45643.90296,AC,Hawkins_and_Warner_2017,Warm preconditioning protects against acute heat-induced respiratory dysfunction and delays bleaching in a symbiotic sea anemone,10.1242/jeb.150391,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Energetics and metabolism,mitochondrial respiration,
45643.90408,AC,Kingsolver_et_al_2016,Plasticity of upper thermal limits to acute and chronic temperature variation in Manduca sexta larvae,10.1242/jeb.138321,Journal of Experimental Biology,Insect,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Development","CTmax, development ",
45643.91054,AC,Litmer_and_Beaupre_2024,Cycling temperature treatments affect estimates of digestive performance in prairie lizards (Sceloporus consobrinus),10.1242/jeb.247006,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Energetics and metabolism,energy intake; digestive performance,
45643.91228,AC,Joyce_et_al_2018,Exploring nature's natural knockouts: in vivo cardiorespiratory performance of Antarctic fishes during acute warming,10.1242/jeb.183160,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",heart rate; cardiovascular felxibility;oxygen consumption ,
45643.91386,AC,Swanson_et_al_2014,Relative roles of temperature and photoperiod as drivers of metabolic flexibility in dark-eyed juncos,10.1242/jeb.096677,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,metabolic rate,
45643.9153,AC,Stager_et_al_2020,Body temperature maintenance acclimates in a winter-tenacious songbird,10.1242/jeb.221853,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,metabolic rates; thermal conductance ,
45643.91731,AC,von Herbing_et_al_2022,"Multiple stressors, allostasis and metabolic scaling in developing zebrafish",10.1242/jeb.244095,Journal of Experimental Biology,Fish,"Temperature, Oxygen","Embryos, Larvae or juveniles",Larvae or juveniles,"Energetics and metabolism, Development",dry mass;respirometric assays;larval energetics,
45643.91957,AC,Degut_et_al_2022,Irreversible impact of early thermal conditions: an integrative study of developmental plasticity linked to mobility in a butterfly species,10.1242/jeb.243724,Journal of Experimental Biology,Insect,Temperature,Larvae or juveniles,Adults,"Reproduction, Development",fecundity; body size,
45643.9223,AC,Gambrel_et_al_2022,Can temperature-dependent changes in myocardial contractility explain why fish only increase heart rate when exposed to acute warming?,10.1242/jeb.243152,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; stroke volume ,
45643.9255,AC,Sorby_et_al_2018,Can physiological engineering/programming increase multi-generational thermal tolerance to extreme temperature events?,10.1242/jeb.174672,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Environmental tolerance and preference,thermal tolerance; thermal preference ,
45643.92688,AC,Slotsbo_ET_AL_2016,Reversibility of developmental heat and cold plasticity is asymmetric and has long-lasting consequences for adult thermal tolerance,10.1242/jeb.143750,Journal of Experimental Biology,Insect,Temperature,"Embryos, Adults",Adults,Environmental tolerance and preference,HEAT TOLERANCE;COLD TOLERANCE,
45643.92828,AC,Willot_et_al_2021,Interactions between developmental and adult acclimation have distinct consequences for heat tolerance and heat stress recovery,10.1242/jeb.242479,Journal of Experimental Biology,Insect,Temperature,"Larvae or juveniles, Adults",Adults,Environmental tolerance and preference,thermal tolerance,
45643.92932,AC,Pichaud_et_al_2017,Dynamic changes in cardiac mitochondrial metabolism during warm acclimation in rainbow trout,10.1242/jeb.152421,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,mitochondrial oxygen consumption,
45643.93038,AC,Moyen_et_al_2020,"Mussel acclimatization to high, variable temperatures is lost slowly upon transfer to benign conditions",10.1242/jeb.222893,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Cardiovascular physiology",thermal performance; heart rate,
45643.93348,AC,Haverinen_and_Vornanen_2020,Reduced ventricular excitability causes atrioventricular block and depression of heart rate in fish at critically high temperatures,10.1242/jeb.225227,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,heart rate,
45644.06646,AC,Zhang_and_Dong_2021,"Membrane lipid metabolism, heat shock response and energy costs mediate the interaction between acclimatization and heat-hardening response in the razor clam Sinonovacula constricta",10.1242/jeb.243031,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Environmental tolerance and preference,thermal tolerance; heat shock proteins,
45644.0696,AC,Strand_et_al_2024,Coral species-specific loss and physiological legacy effects are elicited by an extended marine heatwave,10.1242/jeb.246812,Journal of Experimental Biology,Other invertebrate,Temperature,Unclear,Unclear,Energetics and metabolism,oxidative stress;respiration rates ,
45644.07112,AC,Coggins_et_al_2021,Breaking free from thermodynamic constraints: thermal acclimation and metabolic compensation in a freshwater zooplankton species,10.1242/jeb.237727,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption; metabolic rate; mitochondrial membrane potential; heat tolerance,
45644.15717,AC,Findsen_et_al_2013,"Rapid cold hardening improves recovery of ion homeostasis and chill coma recovery time in the migratory locust, Locusta migratoria",10.1242/jeb.081141,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Osmoregulation",water homeostasis; chill tolerance,
45644.15921,AC,Rummel_et_al_2022,A comparison of thermal sensitivities of wing muscle contractile properties from a temperate and tropical bat species,10.1242/jeb.243987,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,Environmental tolerance and preference,temperature sensitivities ,
45644.16058,AC,Isaza_et_al_2020,Thermal acclimation offsets the negative effects of nitrate on aerobic scope and performance,10.1242/jeb.224444,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development","ish performance (growth, swimming);aerobic scope (AS);upper thermal tolerance (CTmax) ",
45644.16585,AC,Roberts_and_Williams_2022,The impact of metabolic plasticity on winter energy use models,10.1242/jeb.243422,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",metabolic rate; thermal sensitivity ,
45644.16708,AC,Thoral_et_al_2022,Different patterns of chronic hypoxia lead to hierarchical adaptive mechanisms in goldfish metabolism,10.1242/jeb.243194,Journal of Experimental Biology,Fish,Oxygen,Adults,Adults,Energetics and metabolism,"metabolic rate;,mitochondrial respiration ",
45644.16826,AC,Kingsolver_et_al_2021,Responses of Manduca sexta larvae to heat waves,10.1242/jeb.236505,Journal of Experimental Biology,Insect,Temperature,Larvae or juveniles,Larvae or juveniles,Development,survival; development;mass;growth rate,
45644.17845,AC,Currie_et_al_2018,Cold-hearted bats: uncoupling of heart rate and metabolism during torpor at sub-zero temperatures,10.1242/jeb.170894,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",oxygen consumption; heart rate,
45644.18099,AC,Moyen_et_al_2022,Effects of heat acclimation on cardiac function in the intertidal mussel Mytilus californianus: can laboratory-based indices predict survival in the field?,10.1242/jeb.243050,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Development","survival;Tcrit,Tflat;thermal tolerance",
45644.18329,AC,Spinks_et_al_2019,Developmental effects of heatwave conditions on the early life stages of a coral reef fish,10.1242/jeb.202713,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Adults,"Environmental tolerance and preference, Development",body size; thermal maximum,
45644.18482,AC,Czarnoleski_et_al_2013,Flies developed small bodies and small cells in warm and in thermally fluctuating environments,10.1242/jeb.083535,Journal of Experimental Biology,Insect,Temperature,Embryos,Adults,Development,development time; cell size; body size,
45644.1858,AC,Colinet_et_al_2013,Rapid decline of cold tolerance at young age is associated with expression of stress genes in Drosophila melanogaster,10.1242/jeb.076216,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,cold tolerance; heat shock proteins ,
45644.18805,AC,Maskrey_et_al_2024,Differential metabolic responses in bold and shy sea anemones during a simulated heatwave,10.1242/jeb.244662,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Energetics and metabolism,resting metabolic rate,
45644.18955,AC,Stecyk_et_al_2020,Cardiophysiological responses of the air-breathing Alaska blackfish to cold acclimation and chronic hypoxic submergence at 5°C,10.1242/jeb.225730,Journal of Experimental Biology,Fish,"Temperature, Oxygen",Adults,Adults,Cardiovascular physiology,heart rate;ventricular action potential,
45644.19104,AC,Tate_et_al_2017,Circulatory mechanisms underlying adaptive increases in thermogenic capacity in high-altitude deer mice,10.1242/jeb.164491,Journal of Experimental Biology,Mammal,Oxygen,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",oxygen consumption; oxygen saturation; heart rate,
45644.19308,AC,Andersen_et_al_2017,Cold acclimation improves chill tolerance in the migratory locust through preservation of ion balance and membrane potential,10.1242/jeb.150813,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,chill coma recovery;,
45644.19462,AC,Massamba-N'Siala_et_al_2014,Trans-generational plasticity in physiological thermal tolerance is modulated by maternal pre-reproductive environment in the polychaete Ophryotrocha labronica,10.1242/jeb.094474,Journal of Experimental Biology,Other invertebrate,Temperature,"Adults, Mix (before and after hatching)",Adults,Environmental tolerance and preference,thermal tolerance,
45644.20681,AC,Nati_et_al_2023,"In a marine teleost, the significance of oxygen supply for acute thermal tolerance depends upon the context and the endpoint used",10.1242/jeb.245210,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Unclear,"Environmental tolerance and preference, Energetics and metabolism",thermal maximum;oxygen uptake,
45644.20813,AC,Fields_et_al_2016,Rapid proteomic responses to a near-lethal heat stress in the salt marsh mussel Geukensia demissa,10.1242/jeb.141176,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Environmental tolerance and preference,heat shock proteins,
45644.20986,AC,Klepsatel_ET_AL_2019,Reproductive fitness of Drosophila is maximised by optimal developmental temperature,10.1242/jeb.202184,Journal of Experimental Biology,Insect,Temperature,Embryos,Adults,"Environmental tolerance and preference, Development",ovariole number; body size;thermal performance ,
45644.21137,AC,Vu Chau Nguyen_et_al_2019,Naked mole-rats reduce the expression of ATP-dependent but not ATP-independent heat shock proteins in acute hypoxia,10.1242/jeb.211243,Journal of Experimental Biology,Mammal,Oxygen,Adults,Adults,Environmental tolerance and preference,heat shock proteins,
45644.21519,AC,Lau_et_al_2019,Species- and tissue-specific differences in ROS metabolism during exposure to hypoxia and hyperoxia plus recovery inmarine sculpins,10.1242/jeb.206896,Journal of Experimental Biology,Fish,Oxygen,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",ROS metabolism;hypoxia tolerance;,
45644.21641,AC,Blackburn_et_al_2014,Evolutionary capacity of upper thermal limits: beyond single trait assessments,10.1242/jeb.099184,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,heat tolerance; thermal limits,
45644.21788,AC,Findsen_et_al_2014,Why do insects enter and recover from chill coma? Low temperature and high extracellular potassium compromise muscle function in Locusta migratoria,10.1242/jeb.098442,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,CTmin,
45644.22188,AC,Ma_et_al_2015,Daily temperature extremes play an important role in predicting thermal effects,10.1242/jeb.122127,Journal of Experimental Biology,Insect,Temperature,Embryos,"Larvae or juveniles, Adults","Reproduction, Development",survival; longevity;fecundity;,
45644.22761,AC,Tikkanen_ET_AL_2017,Effects of prolonged anoxia on electrical activity of the heart in crucian carp (Carassius carassius),10.1242/jeb.145177,Journal of Experimental Biology,Fish,Oxygen,Adults,Adults,Cardiovascular physiology,HEART RATE;ECG;VENTRICULAR ACTION POTENTIAL,
45644.22964,AC,Walczynska_Sobczyk_2021,"Aerobic scope does matter in the temperature-size rule, but only under optimal conditions",10.1242/jeb.242884,Journal of Experimental Biology,Mammal,"Temperature, Oxygen",Adults,Adults,"Energetics and metabolism, Reproduction, Development",aerobic metabolism; body size; growth rate; eggs/female ratio,
45644.23154,AC,Du_et_al_2016,Mitochondrial physiology and reactive oxygen species production are altered by hypoxia acclimation in killifish (Fundulus heteroclitus),10.1242/jeb.132860,Journal of Experimental Biology,Fish,Oxygen,Adults,Adults,Energetics and metabolism,mitochondrial respiration;ROS production,
45644.2335,AC,Hu_et_al_2017,"Temperature and photoperiod as environmental cues affect body mass and thermoregulation in Chinese bulbuls, Pycnonotus sinensis",10.1242/jeb.143842,Journal of Experimental Biology,Bird,"Temperature, photoperiod",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",metabolic activity; resting metabolic rate;thermoregulation,
45627.83419,AP,Costa_et_al_2018,Higher environmental temperatures promote acceleration of spermatogenesis in vivo in mice (Mus musculus),10.1016/j.jtherbio.2018.07.010,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,Reproduction,Duration of spermatogenesis; number of germ and Leydig cells apoptosis; Sertoli cell and spermatogenic efficiencies,
